Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a12,a21,a22
L.brevis,K.humilis,3,22893.6245035069,17898.0252863927,0.189828732769268,0.204870502682259,-9.82076774137216e-09,-2.85634147921733e-08,-1.01465775383989e-09,-4.50557275457062e-08
L.brevis,K.servazzii,1,453.080258538821,95.177957004211,0.411625769836435,0.461536246007815,-7.88589368758256e-10,-1.12534852503088e-07,-1.86715790934596e-10,-1.43678778191883e-07
L.brevis,K.servazzii,2,5627.11500602852,903.268020039021,0.32142651950757,0.428470382161049,-2.21042199507311e-09,-8.43164312655158e-08,-2.42756014018065e-09,-1.43833001962039e-07
L.brevis,K.servazzii,3,9166.9566610417,258.0583181399,0.289733076336293,0.522331696693824,-6.99245901714423e-09,-3.71345663961521e-08,-1.47011522735726e-08,-9.16909293546029e-08
L.plantarum,A.malorum,1,18625.4312367428,75.6103676075293,0.168032324155937,0.426652437068823,-5.66882474291728e-09,-2.54894979090591e-09,-4.29853657661131e-08,-7.94083629427408e-09
L.plantarum,A.malorum,2,40886.071598234,164.94757445573,0.145857297100282,0.33895310478652,-3.19344924884876e-09,-2.01318572203392e-09,-2.48414050684149e-08,-2.1901973292487e-09
L.plantarum,A.malorum,3,61304.2262575654,34.8927114440185,0.151326718149342,0.453916362617751,-4.43293937398215e-09,-2.96259638154704e-09,-2.47471439017138e-08,-1.53920687910899e-08
L.plantarum,C.paralimentarius,1,26908.9297197509,338.233988177148,0.159104329359147,0.255529906957467,-4.97128117780422e-09,-8.16987573134633e-09,-7.88029448664921e-09,-2.42253129807448e-08
L.plantarum,C.paralimentarius,2,2701.87927023698,496.215280384871,0.252849106086295,0.258981856768548,-9.96259125521244e-09,-1.39486979832283e-08,-1.14053380552084e-08,-5.61697217250079e-09
L.plantarum,C.paralimentarius,3,359.638016850424,28.8041322570641,0.277075140805216,0.366810828263924,-1.02522414645913e-08,-7.17466088349364e-09,-7.73575698400765e-09,-3.38655419722487e-08
